"12f4 -- 6. Buildings and dwellings, 2010-2024"

"Postal code area","2020 Dwellings in blocks of flats (RA)","2021 Dwellings in blocks of flats (RA)","2022 Dwellings in blocks of flats (RA)","2023 Dwellings in blocks of flats (RA)","2024 Dwellings in blocks of flats (RA)"
"13880  Rahkoila (Hattula)",34,34,34,34,34
"13900  Pekola (Hattula)",6,6,6,5,5
"14140  Jokimaa (Janakkala)",0,0,0,0,0
"14200  Turenki (Janakkala)",1488,1487,1478,1481,1486
"14240  Väli-Janakkala (Janakkala)",12,12,12,12,12
"14300  Renko kk (Hämeenlinna)",57,57,57,57,57
"14430  Vuohiniemi (Hattula)",0,0,0,0,0
"14450  Rimmilä (Hämeenlinna)",0,0,0,0,0
"14500  Iittala (Hämeenlinna)",255,255,255,254,262
"14530  Leteensuo (Hattula)",1,1,1,1,1
"14610  Lepaa (Hattula)",5,5,5,5,5
"14620  Tyrväntö (Hattula)",11,11,11,11,11
"14680  Alvettula (Hämeenlinna)",6,6,6,6,6
"14690  Torvoila (Hämeenlinna)",0,0,0,0,0
"14700  Hauho kk (Hämeenlinna)",165,166,166,166,166
"14770  Eteläinen (Hämeenlinna)",1,1,0,0,0
"14810  Pohjoinen (Hämeenlinna)",4,4,4,4,4
"14820  Syrjäntaka (Hämeenlinna)",0,0,0,0,0
"14840  Sairiala (Hämeenlinna)",21,21,20,21,21
"14870  Juttila (Hämeenlinna)",0,0,0,0,0
"14930  Sappee (Hämeenlinna)",0,0,0,0,0
"14960  Puutikkala (Pälkäne)",0,0,0,0,0
"14980  Kuohijoki (Pälkäne)",3,3,3,3,3
"15100  Lahti Asemanseutu (Lahti)",4102,4105,4194,4367,4420
"15110  Keski-Lahti (Lahti)",4206,4059,4311,4324,4376
"15140  Kartano-Paavola (Lahti)",10857,10906,10927,10999,11148
"15150  Möysä (Lahti)",2484,2496,2526,2523,2546
"15160  Kolava (Lahti)",18,18,27,27,27
"15170  Tenava-Tonttila (Lahti)",2047,2054,2046,2048,2049
"15200  Kiveriö (Lahti)",1815,1814,1833,1844,1846
"15210  Kivistönmäki (Lahti)",2913,2916,2910,2913,2914
"15230  Kytölä (Lahti)",237,235,236,235,234
"15240  Mukkula (Lahti)",3227,3244,3271,3280,3279
"15270  Kukkila (Hollola)",11,11,11,12,10
"15300  Myllypohja-Koiskala (Lahti)",799,800,799,796,799
"15320  Ahtiala (Lahti)",194,195,195,195,194
"15340  Kunnas-Hiekkanummi (Lahti)",2,2,2,2,2
"15460  Mäkelä (Lahti)",0,0,0,0,0
"15500  Liipola (Lahti)",2849,2848,2846,2853,2854
"15520  Saksala (Lahti)",1200,1201,1199,1200,1201
"15540  Villähde (Lahti)",125,126,126,126,126
"15550  Rakokivi (Lahti)",1001,1001,998,1003,1005
"15560  Nastola kk (Lahti)",1245,1248,1225,1229,1249
"15580  Ruuhijärvi (Lahti)",0,0,0,0,0
"15610  Laune-Nikkilä (Lahti)",566,572,567,524,529
"15680  Renkomäki-Ämmälä (Lahti)",11,11,11,11,11
"15700  Hennala-Jokimaa (Lahti)",2848,2883,2945,3122,3233
"15800  Kärpänen (Lahti)",1524,1513,1506,1506,1509
"15810  Kasakkamäki (Lahti)",194,194,191,192,194
"15820  Okeroinen (Hollola)",4,4,4,4,4
"15830  Metsäkangas (Lahti)",1933,1934,1928,1930,1931
"15840  Riihelä (Lahti)",318,318,317,317,318
"15850  Likolampi (Lahti)",160,151,144,144,142
"15860  Kartano (Hollola)",1277,1277,1276,1277,1278
"15870  Salpakangas (Hollola)",1281,1288,1309,1309,1308
"15880  Soramäki (Hollola)",614,616,616,617,617
"15900  Jalkaranta (Lahti)",248,250,247,247,245
"15950  Kiikkula (Lahti)",1469,1469,1468,1442,1444
"15980  Messilä (Hollola)",...,...,...,...,...
"16100  Uusikylä (Lahti)",123,122,117,118,126
"16160  Okkeri (Lahti)",1,1,1,0,0
"16200  Artjärvi Keskus (Orimattila)",26,26,26,26,26
"16230  Artjärvi Kirkonkylä (Orimattila)",0,0,0,0,0
"16260  Hietana (Orimattila)",0,0,0,0,0
"16270  Villikkala (Orimattila)",0,0,0,0,0
"16280  Kuivanto (Orimattila)",5,5,5,5,5
"16300  Orimattila Keskus (Orimattila)",1804,1802,1802,1793,1802
"16310  Virenoja (Orimattila)",0,0,0,0,0
"16320  Pennala (Orimattila)",4,4,4,4,4
"16330  Heinämaa (Orimattila)",0,0,0,0,0
"16350  Niinikoski (Orimattila)",1,1,1,1,1
"16390  Pakaa (Orimattila)",0,0,0,0,0
"16450  Mallusjoki (Orimattila)",0,0,0,0,0
"16500  Herrala (Hollola)",13,13,13,13,13
"16510  Luhtikylä (Orimattila)",0,0,0,0,0
"16540  Mertie (Kärkölä)",0,0,0,0,0
"16600  Järvelä (Kärkölä)",165,172,170,169,172
"16610  Kärkölä kk (Kärkölä)",0,0,0,0,0
"16630  Tennilä (Hollola)",0,0,0,0,0
"16670  Lappila (Kärkölä)",8,8,5,5,5
"16710  Hollola kk (Hollola)",10,10,10,10,10
"16730  Kutajärvi (Hollola)",2,2,2,2,2
"16790  Manskivi (Hollola)",1,1,1,0,0
"16800  Hämeenkoski (Hollola)",29,28,29,29,33
"16900  Lammi kk (Hämeenlinna)",520,516,505,501,501
"16960  Iso-Evo (Hämeenlinna)",0,0,0,0,0
"16970  Evo (Hämeenlinna)",32,32,32,32,32
"17110  Kalliola (Hollola)",4,4,4,4,0
"17120  Paimela (Hollola)",1,1,1,1,1
"17130  Vesivehmaa (Asikkala)",0,0,0,0,0
"17150  Urajärvi (Asikkala)",0,0,0,0,0
"17200  Vääksy Keskus (Asikkala)",1016,1016,1015,1016,1023
"17220  Pietilä (Asikkala)",0,0,0,0,0
"17240  Kalkkinen (Asikkala)",0,0,0,0,0
"17320  Asikkala (Asikkala)",7,7,7,7,7
"17410  Viitaila (Asikkala)",0,0,0,0,0
"17430  Kurhila (Asikkala)",0,0,0,0,0
"17440  Vähimaa (Asikkala)",0,0,0,0,0
"17450  Iso-Äiniö-Vähimaa (Asikkala)",1,1,1,1,1
"17470  Maakeski (Padasjoki)",0,0,0,0,0
"17500  Padasjoki Keskus (Padasjoki)",235,235,236,236,237
"17510  Nyystölä (Padasjoki)",0,0,0,0,0
"17530  Arrakoski (Padasjoki)",10,10,6,6,6
"17610  Auttoinen (Padasjoki)",0,0,0,0,0
"17630  Vesijako (Padasjoki)",0,0,0,0,0
"17710  Torittu (Padasjoki)",0,0,0,0,0
"17740  Kasiniemi-Torittu (Padasjoki)",0,0,0,0,0
"17780  Harmoinen (Kuhmoinen)",0,0,0,0,0
"17800  Kuhmoinen Keskus (Kuhmoinen)",314,317,312,315,322
"17840  Harjunsalmi (Kuhmoinen)",0,0,0,0,0
"17850  Pihlajakoski (Kuhmoinen)",0,0,0,0,0
"17870  Ruolahti (Kuhmoinen)",0,0,0,0,0
"17930  Päijälä (Kuhmoinen)",0,0,0,0,0
"17950  Kylämä (Kuhmoinen)",0,0,0,0,0
"17970  Puukkoinen (Kuhmoinen)",0,0,0,0,0
"18100  Heinola Keskus (Heinola)",2664,2656,2652,2656,2645
"18120  Reumasairaala-alue (Heinola)",62,65,64,62,62
"18130  Tommola-Sahanniemi (Heinola)",986,979,975,979,974
"18150  Jyränkö (Heinola)",703,704,680,681,682
"18200  Kaakonlampi-Pyhätön (Heinola)",852,849,847,847,851
"18300  Heinola kk (Heinola)",194,193,193,193,193
"18600  Myllyoja (Heinola)",21,21,21,21,21
"19110  Vierumäki taajama (Heinola)",47,49,48,49,49
"19120  Vierumäki urheiluopisto (Heinola)",12,12,12,12,12
"19160  Huutotöyry (Iitti)",0,0,0,0,0
"19210  Lusi (Heinola)",0,0,0,0,0
"19230  Onkiniemi (Sysmä)",0,0,0,0,0
"19250  Syrjäkoski (Heinola)",0,0,0,0,0
"19260  Paaso-Syrjäkoski (Heinola)",1,1,1,1,1
"19310  Karilanmaa (Sysmä)",0,0,0,0,0
"19320  Nikkaroinen (Sysmä)",0,0,0,0,0
"19370  Nuoramoinen (Sysmä)",0,0,0,0,0
"19410  Kuortti (Mäntyharju)",0,0,0,0,0
"19420  Mansikkamäki (Mäntyharju)",0,0,0,0,0
"19430  Pertunmaa Keskus (Mäntyharju)",14,14,14,14,14
"19460  Ruorasmäki (Mäntyharju)",0,0,0,0,0
"19470  Lihavanpää-Hartosenpää (Mäntyharju)",3,3,3,3,3
"19480  Hartosenpää (Mäntyharju)",0,0,0,0,0
"19510  Lepsala (Hartola)",0,0,0,0,0
"19540  Koitti-Lepsala (Hartola)",12,0,0,0,0
"19600  Hartola Keskus (Hartola)",293,272,270,222,221
"19610  Murakka (Hartola)",0,0,0,0,0
"19620  Pohela (Hartola)",0,0,0,0,0
"19630  Kalhonkylä (Hartola)",0,0,0,0,0
"19650  Joutsa Keskus (Joutsa)",381,383,380,380,382
"19670  Mieskonmäki (Joutsa)",0,0,0,0,0
"19700  Sysmä Keskus (Sysmä)",400,406,382,382,382
"19730  Särkilampi (Sysmä)",0,0,0,0,0
"19740  Liikola (Sysmä)",0,0,0,0,0
"19770  Valittula (Sysmä)",3,3,3,3,3
"19850  Putkijärvi-Siltasuo (Hartola)",0,0,0,0,0
"19910  Tammijärvi (Luhanka)",6,3,3,3,3
"19920  Pappinen (Joutsa)",0,0,0,0,0
"19950  Luhanka (Luhanka)",5,5,0,0,0
"20100  Turku Keskus (Turku)",19645,20029,21232,21852,22365
"20200  Iso-Heikkilä (Turku)",2091,2441,3663,4625,4901
"20210  Pahaniemi (Turku)",2158,2157,2143,2150,2161
"20240  Pansio-Perno (Turku)",2259,2281,2269,2262,2299
"20250  Pitkämäki-Muhkuri (Turku)",27,27,27,146,609
"20300  Pohjola-Kastu (Turku)",2748,2789,2846,2895,3149
"20320  Kuninkoja-Mälikkälä (Turku)",7450,7553,7620,7670,7681
"20360  Runosmäki-Kärsämäki (Turku)",6051,6064,6062,6082,6099
"20380  Räntämäki-Saramäki (Turku)",286,333,330,334,311
"20400  Moisio (Turku)",0,0,0,0,0
"20460  Jäkärlä (Turku)",756,758,754,756,756
"20500  Vesilinna (Turku)",4892,4852,4860,4876,4902
"20520  Kupittaa (Turku)",2871,2879,2827,2910,2978
"20540  Nummi-Ylioppilaskylä (Turku)",8216,8322,8605,8946,8980
"20610  Varissuo (Turku)",5445,5550,5561,5744,5873
"20660  Littoinen (Kaarina)",335,330,329,330,326
"20700  Vartiovuori-Samppalinna (Turku)",4384,4384,4402,4399,4494
"20720  Vasaramäki (Turku)",2965,2968,2961,2965,2967
"20730  Skanssi (Turku)",510,535,763,876,1049
"20740  Ilpoinen-Harittu (Turku)",3628,3630,3627,3626,3630
"20750  Huhkola-Lauste-Vaala (Turku)",1841,1845,1837,1844,1849
"20760  Piispanristi (Kaarina)",1251,1255,1288,1326,1325
"20780  Kaarina Keskus (Kaarina)",3198,3312,3458,3516,3652
"20800  Ammattikorkeakoulu (Turku)",...,...,...,...,...
"20810  Martti-Korppolaismäki (Turku)",9064,8995,9158,9234,9308
"20880  Uittamo (Turku)",1883,1878,1874,1878,1882
"20900  Moikoinen-Pikisaari (Turku)",385,383,464,466,466
"20960  Kakskerta (Turku)",0,0,0,0,0
"21100  Naantali Keskus (Naantali)",2879,2884,2895,2894,3029
"21110  Taimo-Nuhjala-Lietsala (Naantali)",1063,1063,1060,1155,1155
"21120  Kaanaa (Raisio)",154,153,152,155,149
"21130  Poikko (Naantali)",1,1,1,1,1
"21140  Rymättylä Keskus (Naantali)",92,92,82,82,82
"21150  Röölä (Naantali)",2,2,2,2,2
"21160  Merimasku (Naantali)",3,3,3,0,0
"21180  Livonsaari (Naantali)",0,0,0,0,0
"21195  Velkua (Naantali)",0,0,0,0,0
"21200  Raisio Keskus (Raisio)",5086,5224,5296,5530,5561
"21210  Hakinmäki (Raisio)",398,397,391,394,402
"21220  Somersoja (Raisio)",249,250,245,248,255
"21230  Lemu (Masku)",0,0,0,0,0
"21240  Askainen (Masku)",4,4,4,4,4
"21250  Masku (Masku)",209,209,208,208,208
"21260  Ihala (Raisio)",317,312,313,315,339
"21270  Nousiainen (Nousiainen)",189,189,189,190,189
"21280  Kuloinen (Raisio)",78,78,78,78,78
"21290  Rusko (Rusko)",113,115,114,112,112
"21310  Vahto (Rusko)",7,7,7,7,7
"21330  Paattinen (Turku)",35,36,37,37,37
"21340  Tortinmäki (Turku)",0,0,0,0,0
"21350  Ilmarinen (Lieto)",0,0,0,0,0
"21360  Lieto Asemanseutu (Lieto)",8,8,8,7,7
"21370  Aura kk. (Aura)",0,0,0,0,0
"21380  Aura Keskus (Aura)",79,80,78,78,79
"21410  Vanhalinna (Lieto)",26,26,26,24,23
"21420  Lieto Keskus (Lieto)",1587,1615,1645,1700,1701
"21430  Yliskulma (Lieto)",8,8,8,8,8
"21450  Tarvasjoki Keskus (Lieto)",35,36,35,34,36
"21480  Prunkila (Marttila)",0,0,0,0,0
"21490  Marttila (Marttila)",52,52,51,52,52
"21500  Piikkiö (Kaarina)",719,719,715,718,716
"21510  Hevonpää (Paimio)",0,0,0,0,0
"21530  Paimio Keskus (Paimio)",1587,1588,1606,1609,1612
"21540  Preitilä (Paimio)",17,17,17,17,17
"21555  Taatila (Paimio)",6,6,6,6,6
"21560  Ollila (Marttila)",8,8,8,8,8
"21570  Sauvo Keskus (Sauvo)",57,57,57,57,56
"21590  Karuna (Sauvo)",0,0,0,0,0
"21600  Parainen Keskus (Pargas)",1700,1700,1792,1800,1804
"21610  Kirjala (Pargas)",27,27,27,27,28
"21620  Kuusisto (Kaarina)",0,0,0,0,0
"21630  Lielahti (Pargas)",3,3,3,3,3
"21650  Lillandet (Pargas)",6,6,6,6,6
"21660  Nauvo Keskus (Pargas)",41,41,41,41,46
"21670  Mattnäs-Nötö (Pargas)",0,0,0,0,0
"21680  Nötö (Pargas)",...,...,...,...,...
"21710  Korppoo Keskus-Utö (Pargas)",17,19,18,16,16
"21720  Korpoström (Pargas)",0,0,0,0,0
"21740  Utö (Pargas)",0,0,0,0,0
"21750  Norrskata (Pargas)",0,0,0,0,0
"21760  Houtskär Keskus (Pargas)",0,0,0,0,0
"21770  Mossala (Pargas)",0,0,0,0,0
"21800  Kyrö (Pöytyä)",68,69,68,68,69
"21820  Kumila (Pöytyä)",0,0,0,0,0
"21840  Karinainen (Pöytyä)",0,0,0,0,0
"21860  Auvainen (Pöytyä)",0,0,0,0,0
"21870  Riihikoski (Pöytyä)",69,71,69,71,71
"21880  Pöytyä (Pöytyä)",3,3,3,3,3
"21890  Haveri (Pöytyä)",0,0,0,0,0
"21900  Yläne Keskus (Pöytyä)",77,78,78,78,77
"21930  Uusikartano (Pöytyä)",0,0,0,0,0
"22100  Maarianhamina (Mariehamn)",4422,4438,4409,4437,4519
"22120  Möckelö (Jomala)",68,68,95,95,95
"22130  Gottby (Jomala)",7,7,7,7,7
"22140  Önningby (Jomala)",80,87,87,104,106
"22150  Jomala Centrum (Jomala)",128,128,128,125,126
"22160  Järsö (Lemland)",0,0,0,0,0
"22220  Emkarby (Finström)",0,0,0,0,0
"22240  Hammarland (Hammarland)",40,41,41,39,40
"22270  Storby (Eckerö)",23,23,25,24,26
"22310  Pålsböle (Finström)",2,2,2,2,0
"22320  Ödkarby (Saltvik)",12,12,11,11,12
"22330  Tjudö (Finström)",0,0,0,0,0
"22340  Geta (Geta)",5,5,5,4,3
"22410  Godby (Finström)",100,101,100,98,109
"22430  Saltvik (Saltvik)",4,4,4,3,3
"22520  Tosarby (Sund)",3,3,3,3,2
"22530  Sund (Sund)",7,7,7,7,7
"22550  Vårdö (Vårdö)",4,4,4,4,4
"22610  Lemland (Lemland)",20,21,21,20,21
"22630  Lumparland (Lumparland)",0,0,0,0,0
"22710  Ålands Degerby (Föglö)",7,7,7,7,7
"22720  Sottunga (Sottunga)",2,2,2,2,2
"22730  Kökar (Kökar)",4,4,4,4,4
"22810  Seglinge (Kumlinge)",0,0,0,0,0
"22820  Kumlinge (Kumlinge)",0,0,0,0,0
"22830  Enklinge (Kumlinge)",0,0,0,0,0
"22840  Lappo (Brändö)",3,3,3,3,3
"22910  Torsholma (Brändö)",0,0,0,0,0
"22920  Brändö-Åland (Brändö)",0,0,0,0,0
"22930  Fiskö (Brändö)",0,0,0,0,0
"22940  Åva (Brändö)",0,0,0,0,0
"22950  Jurmo (Brändö)",0,0,0,0,0
"23100  Mynämäki Keskus (Mynämäki)",322,322,321,321,322
"23120  Mietoinen Keskus (Mynämäki)",8,9,8,9,9
"23140  Hietamäki (Mynämäki)",4,4,4,4,4
"23200  Vinkkilä (Vehmaa)",92,90,94,100,100
"23210  Vehmaa (Vehmaa)",3,3,3,3,3
"23260  Rautila (Vehmaa)",14,8,8,8,7
"23310  Taivassalo (Taivassalo)",85,86,85,86,88
"23360  Kustavi (Kustavi)",24,24,24,24,24
"23390  Iniö (Pargas)",0,0,0,0,0
"23450  Lokalahti (Uusikaupunki)",0,0,0,0,0
"23500  Uusikaupunki Keskus (Uusikaupunki)",3422,3477,3478,3467,3488
"23600  Kalanti Keskus (Uusikaupunki)",37,37,37,38,38
"23660  Kalanti Asemanseutu (Uusikaupunki)",0,0,0,0,0
"23800  Laitila Keskus (Laitila)",1177,1183,1170,1178,1188
"23930  Pyhämaa (Uusikaupunki)",0,0,0,0,0
"23950  Pyhäranta (Pyhäranta)",0,0,0,0,0
"23960  Santtio (Pyhäranta)",0,0,0,0,0
"24100  Salo Keskus (Salo)",3817,3809,3814,3812,3823
"24130  Ylhäisi (Salo)",395,395,387,387,387
"24240  Rappula (Salo)",1176,1195,1194,1209,1206
"24260  Ollikkala (Salo)",1176,1178,1158,1163,1170
"24280  Tupuri-Hähkänä (Salo)",38,40,40,40,41
"24800  Halikko Keskus (Salo)",896,892,916,910,916
"24910  Halikko Asemanseutu (Salo)",0,0,0,0,0
"25110  Kruusila (Salo)",0,0,0,0,0
"25130  Muurla (Salo)",0,0,0,0,0
"25160  Tuohittu (Salo)",0,0,0,0,0
"25170  Kotalato (Salo)",4,4,4,4,4
"25180  Romsila (Salo)",0,0,0,0,0
"25190  Inkere (Salo)",36,36,36,36,36
"25210  Vartsala (Salo)",9,9,9,9,9
"25230  Angelniemi (Salo)",4,4,4,4,4
"25240  Hajala (Salo)",4,4,4,4,4
"25250  Märynummi (Salo)",94,94,93,94,94
"25260  Vaskio (Salo)",11,11,11,11,11
"25320  Raatala (Salo)",3,3,3,3,3
"25330  Kuusjoki Keskus (Salo)",4,4,4,4,4
"25340  Kanunki (Salo)",0,0,0,0,0
"25360  Pertteli Keskus (Salo)",15,15,15,15,15
"25370  Hiisi (Salo)",0,0,0,0,0
"25380  Rekijoki (Salo)",0,0,0,0,0
"25390  Kiikala Keskus (Salo)",0,0,0,0,0
"25410  Suomusjärvi Keskus (Salo)",15,13,13,13,14
"25420  Lahnajärvi (Salo)",4,4,4,4,4
"25430  Kettula (Salo)",0,0,0,0,0
"25460  Toija (Salo)",30,30,30,30,31
"25470  Kisko kk (Salo)",0,0,0,0,0
"25500  Perniö Keskus (Salo)",468,469,463,467,478
"25520  Perniö Asemanseutu (Salo)",0,0,3,3,3
"25540  Knaapila (Salo)",0,0,0,0,0
"25550  Aijala (Salo)",48,48,48,48,49
"25560  Koski Asemanseutu (Salo)",0,0,0,0,0
"25570  Teijo-Mathildedal (Salo)",47,47,47,47,48
"25610  Ylönkylä (Salo)",4,4,4,4,4
"25630  Finby (Salo)",10,10,10,10,10
"25640  Förby (Salo)",3,3,3,3,3
"25650  Strömma (Kimitoön)",3,3,3,3,3
"25660  Mathildedal (Salo)",15,14,13,16,16
"25700  Kemiö Keskus (Kimitoön)",209,187,187,184,208
"25710  Vreta-Vestlax (Kimitoön)",19,19,19,19,19
"25730  Mjösund (Kimitoön)",18,18,18,18,14
"25760  Kiila (Kimitoön)",0,0,0,1,2
"25810  Mark (Kimitoön)",2,2,2,2,2
"25820  Vestlax (Kimitoön)",3,3,3,3,3
"25830  Västanfjärd Keskus (Kimitoön)",28,27,26,26,26
"25840  Nivelax (Kimitoön)",0,0,0,0,0
"25860  Björkboda (Kimitoön)",67,67,64,67,68
"25870  Dragsfjärd (Kimitoön)",81,82,82,82,82
"25900  Taalintehdas (Kimitoön)",610,612,599,601,604
"25910  Vänoxa (Kimitoön)",...,...,...,...,...
"25930  Kasnäs (Kimitoön)",0,0,0,0,0
"25940  Hiittinen (Kimitoön)",0,0,0,0,0
"25950  Rosala-Kasnäs-Hitis (Kimitoön)",0,0,0,0,0
"25960  Högsåra (Kimitoön)",0,0,0,0,0
"26100  Rauma Keskus (Rauma)",7771,7811,7863,7915,7968
"26200  Merirauma-Kappelinluhta (Rauma)",749,752,738,735,749
"26410  Kaaro (Rauma)",0,0,0,0,0
"26510  Uotila (Rauma)",161,161,159,159,162
"26560  Kolla (Rauma)",0,0,0,0,0
"26660  Paroalho (Rauma)",1321,1329,1327,1328,1332
"26720  Monnanummi (Rauma)",0,0,0,0,0
"26740  Vasarainen (Rauma)",0,0,0,0,0
"26820  Sampaanala (Rauma)",385,383,380,381,385
"26840  Kortela (Rauma)",0,0,0,0,0
"26910  Unaja (Rauma)",0,0,0,0,0
"26930  Vermuntila (Rauma)",0,0,0,0,0
"26950  Voiluoto (Rauma)",0,0,0,0,0
"27100  Eurajoki Keskus (Eurajoki)",143,146,146,144,145
"27110  Irjanne (Eurajoki)",6,6,6,6,6
"27130  Eurajoki asemanseutu (Eurajoki)",2,2,2,2,2
"27150  Lapijoki (Eurajoki)",0,0,0,0,0
"27160  Olkiluoto (Eurajoki)",0,0,0,0,0
"27170  Kuivalahti (Eurajoki)",0,0,0,0,0
"27220  Ala-Kieri (Rauma)",2,2,2,2,2
"27230  Lappi (Rauma)",117,124,124,124,125
"27250  Kodiksami (Rauma)",0,0,0,0,0
"27260  Kuolimaa (Rauma)",0,0,0,0,0
"27310  Kodisjoki (Rauma)",14,14,14,14,14
"27320  Ihode (Pyhäranta)",0,0,0,0,0
"27340  Reila (Pyhäranta)",0,0,0,0,0
"27400  Kiukainen Keskus (Eura)",32,31,30,31,26
"27420  Panelia Asemanseutu (Eura)",0,0,0,0,0
"27430  Panelia (Eura)",39,38,39,38,39
"27450  Harola (Eura)",0,0,0,0,0
"27500  Kauttua (Eura)",269,271,296,298,298
"27510  Eura Keskus (Eura)",426,425,423,421,421
"27600  Hinnerjoki (Eura)",3,3,3,3,3
"27640  Honkilahti kk (Eura)",0,0,0,0,0
"27650  Honkilahti (Eura)",0,0,0,0,0
"27670  Mannila (Eura)",0,0,0,0,0
"27710  Köyliö Keskus (Säkylä)",48,48,48,48,48
"27730  Tuiskula (Säkylä)",0,0,0,0,0
"27740  Voitoinen (Säkylä)",0,0,0,0,0
"27750  Yttilä (Säkylä)",0,0,0,0,0
"27800  Säkylä Keskus (Säkylä)",279,277,275,278,278
"27820  Iso-Vimma (Säkylä)",55,55,55,55,55
"27840  Kakkuri (Säkylä)",15,15,15,13,13
"27860  Vuori (Säkylä)",0,0,0,0,0
"27910  Huovinrinne (Säkylä)",104,105,104,105,105
"27920  Otajoki (Säkylä)",0,0,0,0,0
"28100  Pori Keskus (Pori)",9496,9467,9562,9642,9702
"28120  Käppärä-Isomäki (Pori)",1370,1338,1334,1334,1339
"28130  Impola (Pori)",3738,3721,3690,3688,3700
"28190  Pormestarinluoto (Pori)",1475,1457,1448,1453,1459
"28200  Toejoki (Pori)",64,64,63,63,66
"28220  Ruosniemi (Pori)",57,67,78,84,85
"28240  Isojoenranta (Pori)",6,6,6,6,6
"28260  Harjunpää (Ulvila)",16,6,6,6,16
"28300  Kalaholma-Väinölä (Pori)",11,11,11,11,11
"28330  Koivistonluoto (Pori)",926,923,922,922,923
"28360  Vanhakoivisto (Pori)",1101,1100,1099,1100,1104
"28370  Sampola (Pori)",1650,1650,1640,1647,1649
"28400  Ulvila Keskus (Ulvila)",661,681,680,680,680
"28430  Kartano-Harmaalinna (Pori)",21,17,17,11,11
"28450  Vanha-Ulvila (Ulvila)",461,460,452,445,455
"28500  Keskussairaala-alue-Tiilimäki (Pori)",500,503,504,505,512
"28540  Pinomäki (Pori)",0,0,0,0,0
"28560  Lattomeri (Pori)",0,0,0,0,0
"28580  Niittymaa (Pori)",0,0,0,0,0
"28600  Vähärauma (Pori)",560,526,526,523,521
"28610  Musa-Tiiliruukki (Pori)",695,705,703,712,710
"28660  Pietniemi-Leppäkorpi (Pori)",115,113,112,113,113
"28760  Kyläsaari (Pori)",6,8,8,8,8
"28800  Pihlava (Pori)",754,743,732,737,740
"28840  Yyteri-Kaanaa (Pori)",179,181,181,179,183
"28880  Mäntyluoto (Pori)",220,221,220,221,221
"28900  Tahkoluoto-Reposaari (Pori)",116,115,114,116,117
"29100  Luvia Keskus (Eurajoki)",35,35,35,35,35
"29180  Peränkylä (Eurajoki)",0,0,0,0,0
"29200  Harjavalta Keskus (Harjavalta)",1346,1338,1329,1334,1341
"29250  Nakkila Keskus (Nakkila)",392,395,396,396,396
"29270  Hormisto (Nakkila)",0,0,0,0,0
"29280  Järvimaa (Nakkila)",0,0,0,0,0
"29310  Kaasmarkku (Ulvila)",9,9,9,9,9
"29320  Leineperi (Ulvila)",0,0,0,0,0
"29340  Kullaa Keskus (Ulvila)",0,0,0,0,0
"29350  Palus (Ulvila)",2,2,0,0,0
"29570  Söörmarkku (Pori)",0,0,0,0,0
"29600  Noormarkku Keskus (Pori)",240,238,239,237,239
"29630  Pomarkku Keskus (Pomarkku)",76,75,75,76,76
"29640  Honkakoski (Pomarkku)",3,3,3,3,3
"29680  Kairila (Pori)",0,0,0,0,0
"29700  Ahlainen (Pori)",10,10,10,10,10
"29720  Lamppi (Pori)",0,1,1,0,1
"29740  Etelämaa (Merikarvia)",0,0,0,0,0
"29750  Pohjansaha (Merikarvia)",3,3,3,3,3
"29760  Köörtilä (Merikarvia)",0,0,0,0,0
"29790  Tuorila (Merikarvia)",0,0,0,0,0
"29810  Siikainen Keskus (Siikainen)",43,43,43,43,41
"29830  Sammi (Siikainen)",0,0,0,0,0
"29860  Otamo (Siikainen)",6,3,3,3,3
"29880  Leväsjoki-Saarineva (Siikainen)",0,0,0,0,0
"29900  Merikarvia Keskus-Rannikko (Merikarvia)",182,179,176,174,177
"29940  Kuvaskangas (Merikarvia)",0,0,0,0,0
"30100  Forssa Keskus (Forssa)",2681,2673,2674,2675,2690
"30300  Viksberg (Forssa)",1576,1560,1484,1486,1495
"30420  Tölö (Forssa)",1445,1448,1441,1437,1448
"31110  Matku (Forssa)",5,7,5,6,7
"31130  Koijärvi (Forssa)",0,0,0,0,0
"31140  Menonen (Urjala)",0,0,0,0,0
"31160  Nuutajärvi (Urjala)",6,9,9,9,9
"31170  Savijoki (Forssa)",0,0,0,0,0
"31230  Susikas (Tammela)",0,0,0,0,0
"31250  Teuro (Tammela)",0,0,0,0,0
"31300  Tammela Keskus (Tammela)",317,312,314,311,312
"31310  Mustiala (Tammela)",3,3,3,3,3
"31340  Porras (Tammela)",0,0,0,0,0
"31350  Vistinkoski (Tammela)",6,5,5,5,5
"31370  Eerikkilän Urheiluopisto (Tammela)",...,...,...,...,...
"31380  Letku-Torro (Tammela)",7,7,7,7,7
"31400  Somero Keskus (Somero)",701,695,680,687,693
"31410  Ylöpirtti (Somero)",0,0,0,0,0
"31450  Häntälä (Somero)",0,0,0,0,0
"31460  Hirsjärvi (Somero)",0,0,0,0,0
"31470  Somerniemi (Somero)",0,0,0,0,0
"31490  Terttilä (Somero)",0,0,0,0,0
"31500  Koski Tl (Koski Tl)",82,82,82,82,82
"31520  Pitkäjärvi (Somero)",0,0,0,0,0
"31530  Pyöli (Somero)",0,0,0,0,0
"31600  Jokioinen Keskus (Jokioinen)",307,309,287,287,287
"31610  Vaulammi (Jokioinen)",3,3,3,3,3
